time_ns,cycle,freq_step,f_word_hex,freq_hz,wave_out,step_sync
4990,244,0,0x051eb851,999999,74,0
5010,245,0,0x051eb851,999999,78,0
5030,246,0,0x051eb851,999999,84,0
5050,247,0,0x051eb851,999999,90,0
5070,248,0,0x051eb851,999999,97,0
5090,249,0,0x051eb851,999999,104,0
5110,250,0,0x051eb851,999999,112,0
5130,251,0,0x051eb851,999999,119,0
5150,252,0,0x051eb851,999999,127,0
5170,253,0,0x051eb851,999999,135,0
5190,254,0,0x051eb851,999999,143,0
5210,255,0,0x051eb851,999999,151,0
5230,256,0,0x051eb851,999999,158,0
5250,257,0,0x051eb851,999999,165,0
5270,258,0,0x051eb851,999999,171,0
5290,259,0,0x051eb851,999999,177,0
5310,260,0,0x051eb851,999999,181,0
5330,261,0,0x051eb851,999999,185,0
5350,262,0,0x051eb851,999999,188,0
5370,263,0,0x051eb851,999999,190,0
5390,264,0,0x051eb851,999999,191,0
5410,265,0,0x051eb851,999999,191,0
5430,266,0,0x051eb851,999999,190,0
5450,267,0,0x051eb851,999999,188,0
5470,268,0,0x051eb851,999999,185,0
5490,269,0,0x051eb851,999999,181,0
5510,270,0,0x051eb851,999999,177,0
5530,271,0,0x051eb851,999999,171,0
5550,272,0,0x051eb851,999999,165,0
5570,273,0,0x051eb851,999999,158,0
5590,274,0,0x051eb851,999999,151,0
5610,275,0,0x051eb851,999999,143,0
5630,276,0,0x051eb851,999999,136,0
5650,277,0,0x051eb851,999999,128,0
5670,278,0,0x051eb851,999999,120,0
5690,279,0,0x051eb851,999999,112,0
5710,280,0,0x051eb851,999999,104,0
5730,281,0,0x051eb851,999999,97,0
5750,282,0,0x051eb851,999999,90,0
5770,283,0,0x051eb851,999999,84,0
5790,284,0,0x051eb851,999999,78,0
5810,285,0,0x051eb851,999999,74,0
5830,286,0,0x051eb851,999999,70,0
5850,287,0,0x051eb851,999999,67,0
5870,288,0,0x051eb851,999999,65,0
5890,289,0,0x051eb851,999999,64,0
5910,290,0,0x051eb851,999999,64,0
5930,291,0,0x051eb851,999999,65,0
5950,292,0,0x051eb851,999999,67,0
5970,293,0,0x051eb851,999999,70,0
5990,294,0,0x051eb851,999999,74,0
6010,295,0,0x051eb851,999999,78,0
6030,296,0,0x051eb851,999999,84,0
6050,297,0,0x051eb851,999999,90,0
6070,298,0,0x051eb851,999999,97,0
6090,299,0,0x051eb851,999999,104,0
6110,300,0,0x051eb851,999999,112,0
6130,301,0,0x051eb851,999999,119,0
6150,302,0,0x051eb851,999999,127,0
